,x,y,z
53932,5951782.87,2159866.61,61.09
53933,5951885.5,2159908.05,77.72
53934,5951887.53,2159907.32,77.49
53935,5951888.8100000005,2159906.87,77.43
53936,5951891.76,2159905.52,77.0
53937,5951894.88,2159904.5,76.64
53938,5951896.92,2159903.49,76.31
53939,5951895.93,2159904.18,76.61
53940,5951897.93,2159903.13,76.12
53941,5951892.72,2159905.32,76.9
53942,5951893.57,2159904.93,76.77
53943,5951885.86,2159908.0100000002,87.17
53944,5951887.600000001,2159907.29,87.01
53945,5951888.88,2159906.64,86.75
53946,5951889.8,2159906.2800000003,96.62
53947,5951894.82,2159904.41,86.06
53948,5951895.96,2159903.88,85.79
53949,5951895.7,2159904.08,85.89
53950,5951897.8,2159903.32,85.63
53951,5951892.49,2159905.2600000002,86.32000000000001
53952,5951894.82,2159904.44,96.10000000000001
53953,5951895.96,2159904.14,95.93
53954,5951894.0600000005,2159904.67,96.26
156514,5951745.24,2159962.48,80.35000000000001
156515,5951744.36,2159962.87,80.31
156516,5951741.57,2159963.72,89.67
156517,5951742.59,2159963.46,89.86
156518,5951743.44,2159963.2600000002,89.96000000000001
156519,5951744.49,2159962.8,90.09
156520,5951758.5,2159957.16,82.09
156521,5951751.12,2159960.31,81.10000000000001
156522,5951746.42,2159962.05,80.54
156523,5951747.3100000005,2159961.72,80.64
156524,5951748.2,2159961.33,80.71000000000001
156525,5951759.55,2159956.77,82.15
156526,5951761.45,2159956.0100000002,82.41
156527,5951763.55,2159955.36,82.58
156528,5951764.600000001,2159955.0,82.78
156529,5951767.98,2159953.65,83.23
156530,5951770.08,2159952.73,83.56
156531,5951769.0,2159953.2600000002,83.37
156532,5951770.96,2159952.5300000003,83.63
156533,5951766.08,2159954.27,83.01
156534,5951758.33,2159957.42,91.8
156535,5951759.12,2159956.96,91.9
156536,5951764.63,2159954.8,92.62
156537,5951762.2700000005,2159955.82,92.29
156538,5951767.0600000005,2159953.7800000003,92.98
156539,5951767.68,2159953.58,93.21000000000001
156540,5951771.65,2159952.08,93.63
156541,5951772.11,2159951.91,93.57000000000001
156542,5951769.59,2159952.99,93.34
156543,5951771.03,2159952.27,93.41
156544,5951765.68,2159954.47,92.78
156545,5951766.63,2159954.18,92.95
156546,5951777.26,2159950.0100000002,84.42
156547,5951777.76,2159949.75,84.45
156548,5951781.13,2159948.6,84.88
156549,5951781.63,2159948.11,85.07000000000001
156550,5951779.72,2159949.09,84.74
156551,5951780.61,2159948.79,84.88
156552,5951783.66,2159947.61,85.24
156553,5951782.74,2159947.97,85.10000000000001
156554,5951785.04,2159946.99,85.43
156555,5951786.0200000005,2159946.56,85.53
156556,5951786.78,2159946.4,85.63
156557,5951775.49,2159950.7600000002,84.19
156558,5951793.01,2159963.62,85.33
156559,5951794.0,2159963.3,85.53
156560,5951794.88,2159943.25,86.71000000000001
156561,5951795.57,2159942.7600000002,86.88
156562,5951788.75,2159945.55,85.93
156563,5951789.67,2159945.09,86.09
156564,5951789.99,2159944.86,86.15
156565,5951791.11,2159944.5300000003,86.29
156566,5951791.96,2159944.37,86.35000000000001
156567,5951792.88,2159943.97,86.52
156568,5951793.7700000005,2159943.48,86.61
156569,5951795.87,2159942.56,96.85000000000001
156570,5951772.54,2159951.91,93.63
156571,5951774.21,2159951.19,93.9
156572,5951775.13,2159950.89,94.0
156573,5951798.2,2159961.69,86.15
156574,5951794.65,2159963.0300000003,95.47
156575,5951796.98,2159961.95,95.87
156576,5951797.51,2159961.82,95.83
156577,5951712.89,2159975.0100000002,76.57000000000001
156578,5951715.12,2159974.22,76.84
156579,5951714.3,2159974.65,76.87
156580,5951716.01,2159973.93,77.03
156581,5951716.37,2159973.6,77.0
156582,5951716.96,2159973.66,77.13
156583,5951713.94,2159974.55,86.35000000000001
156584,5951714.53,2159974.32,86.52
156585,5951718.54,2159973.04,86.84
156586,5951717.98,2159972.94,86.91
156587,5951715.45,2159974.16,86.58
156588,5951718.7,2159972.65,97.01
156589,5951716.83,2159973.66,96.75
156590,5951723.100000001,2159971.07,77.76
156591,5951724.05,2159970.71,77.85000000000001
156592,5951724.97,2159970.35,77.95
156593,5951731.0,2159968.02,78.67
156594,5951728.12,2159969.1,78.35000000000001
156595,5951729.17,2159968.91,78.51
156596,5951729.86,2159968.45,78.54
156597,5951719.95,2159972.25,77.23
156598,5951719.13,2159972.81,77.23
156599,5951732.350000001,2159967.56,78.84
156600,5951734.25,2159966.77,79.07000000000001
156601,5951736.12,2159966.08,79.3
156602,5951736.71,2159965.89,79.33
156603,5951737.3,2159965.69,79.46000000000001
156604,5951738.62,2159965.0,79.56
156605,5951720.73,2159991.74,75.46000000000001
156606,5951721.16,2159991.45,75.69
156607,5951723.82,2159990.63,75.89
156608,5951724.74,2159990.36,76.02
156609,5951727.100000001,2159989.31,76.25
156610,5951727.5600000005,2159989.18,76.34
156611,5951730.12,2159988.3,76.94
156612,5951730.71,2159987.84,76.8
156613,5951728.15,2159988.98,76.51
156614,5951721.03,2159991.74,85.33
156615,5951721.98,2159991.38,85.43
156616,5951725.07,2159990.0300000003,85.83
156617,5951722.83,2159990.89,85.56
156618,5951723.5600000005,2159990.69,85.66
156619,5951724.54,2159990.23,85.7
156620,5951729.66,2159988.16,86.38
156621,5951725.92,2159989.84,85.99
156622,5951728.8100000005,2159988.69,86.35000000000001
156623,5951740.26,2159984.1,78.02
156624,5951744.68,2159982.52,78.58
156625,5951736.12,2159985.67,77.56
